System Fixation time;Fixation Event;X Fixation Data; Y Fixation Data 
1587052501497;Fixation data;7488;1915
1587052501509;Fixation data;7473;1916
1587052501519;Fixation data;7454;1923
1587052501531;Fixation data;7441;1927
1587052501542;Fixation data;7430;1927
1587052501553;Fixation data;7423;1924
1587052501564;Fixation begin;7417;1918
1587052501576;Fixation data;7420;1917
1587052501587;Fixation data;7422;1916
1587052501598;Fixation data;7426;1917
1587052501608;Fixation data;7427;1921
1587052501619;Fixation begin;7415;1927
1587052501630;Fixation data;7418;1930
1587052501641;Fixation data;7427;1928
1587052501652;Fixation data;7430;1924
1587052501664;Fixation data;7425;1921
1587052501675;Fixation data;7411;1923
1587052501687;Fixation begin;7398;1930
1587052501697;Fixation data;7403;1931
1587052501709;Fixation begin;7433;1924
1587052501719;Fixation data;7436;1922
1587052501732;Fixation data;7436;1918
1587052501742;Fixation data;7432;1918
1587052501752;Fixation begin;7432;1923
1587052501764;Fixation data;7434;1923
1587052501775;Fixation data;7434;1923
1587052501786;Fixation data;7432;1923
1587052501797;Fixation data;7429;1923
1587052501809;Fixation data;7419;1927
1587052501819;Fixation begin;7408;1938
1587052501831;Fixation data;7408;1936
1587052501842;Fixation data;7410;1936
1587052501852;Fixation data;7403;1937
1587052501864;Fixation data;7397;1941
1587052501875;Fixation data;7394;1941
1587052501885;Fixation data;7394;1936
1587052501897;Fixation data;7394;1931
1587052501909;Fixation data;7397;1928
1587052501920;Fixation data;7409;1929
1587052501931;Fixation begin;7421;1934
1587052501942;Fixation data;7417;1930
1587052501953;Fixation data;7417;1926
1587052501964;Fixation data;7417;1923
1587052501976;Fixation data;7419;1921
1587052501997;Fixation begin;7420;1921
1587052502008;Fixation data;7421;1921
1587052502019;Fixation data;7428;1921
1587052502030;Fixation begin;7442;1920
1587052502042;Fixation data;7446;1921
1587052502052;Fixation begin;7454;1923
1587052502063;Fixation data;7454;1924
1587052502075;Fixation data;7452;1924
1587052502085;Fixation begin;7414;1922
1587052502097;Fixation data;7407;1920
1587052502109;Fixation data;7397;1919
1587052502119;Fixation data;7393;1920
1587052502131;Fixation data;7389;1920
1587052502142;Fixation data;7386;1920
1587052502152;Fixation data;7383;1922
1587052502164;Fixation data;7384;1923
1587052502174;Fixation data;7385;1922
1587052502185;Fixation data;7383;1923
1587052502197;Fixation data;7384;1930
1587052502208;Fixation data;7387;1938
1587052502221;Fixation data;7388;1942
1587052502230;Fixation data;7383;1941
1587052502252;Fixation begin;7389;1931
1587052502263;Fixation data;7394;1933
1587052502275;Fixation data;7397;1937
1587052502286;Fixation begin;7387;1940
1587052502297;Fixation data;7384;1937
1587052502308;Fixation data;7380;1933
1587052502318;Fixation begin;7380;1929
1587052502330;Fixation data;7382;1930
1587052502341;Fixation data;7388;1930
1587052502352;Fixation begin;7396;1930
1587052502364;Fixation data;7393;1931
1587052502375;Fixation begin;7380;1935
1587052502386;Fixation data;7384;1936
1587052502397;Fixation data;7390;1940
1587052502408;Fixation data;7398;1941
1587052502419;Fixation data;7403;1943
1587052502430;Fixation data;7403;1941
1587052502441;Fixation data;7400;1941
1587052502452;Fixation data;7393;1943
1587052502463;Fixation data;7383;1944
1587052502474;Fixation data;7375;1948
1587052502485;Fixation data;7376;1951
1587052502496;Fixation data;7380;1952
1587052502508;Fixation begin;7389;1942
1587052502518;Fixation data;7389;1939
1587052502530;Fixation data;7393;1943
1587052502541;Fixation data;7396;1946
1587052502552;Fixation data;7400;1947
1587052502564;Fixation begin;7402;1937
1587052502575;Fixation data;7402;1940
1587052502585;Fixation begin;7392;1941
1587052502597;Fixation data;7391;1942
1587052502608;Fixation data;7390;1941
